Player,Wyscout id,Team within selected timeframe,Position,Age,Goals,Assists,Minutes played,Temporada
M. Pérez,351013,Cerro,CF,29.0,2,0,887,2024
I. Rodríguez,-307122,Liverpool,"RCB, RCB3",20.0,1,0,886,2024
S. Corbo,-322499,River Plate,RB,22.0,0,0,880,2024
M. Peralta,-166796,Cerro,"RW, CF",26.0,1,1,871,2024
S. González,-124483,Deportivo Maldonado,"RCMF, LDMF, DMF",24.0,0,0,871,2024
S. Viera,434546,Fénix,"LCMF, RCMF3, RWB",26.0,0,0,868,2024
M. Montiel,445675,Deportivo Maldonado,"RB, RCB, CB",29.0,0,0,867,2024
G. González,-122269,Nacional,"LW, LAMF",23.0,1,1,866,2024
G. Andrada,-89486,Progreso,"RCMF, DMF, LCMF",27.0,0,0,864,2024
M. Suárez,-140272,Wanderers,"LCMF, LDMF, RCMF",20.0,0,0,855,2024
H. Vergara,-132281,Liverpool,"RW, RAMF, RWF",22.0,2,2,855,2024
M. Aguirregaray,91714,Wanderers,"RB, LB",35.0,0,1,841,2024
E. de León,-335553,Deportivo Maldonado,CF,19.0,1,0,832,2024
F. Santander,31548,Nacional,"CF, LWF",33.0,7,0,827,2024
M. Camarda,-191811,River Plate,CF,24.0,3,0,826,2024
F. Romero,341285,Nacional,"RCB, LCB",29.0,0,0,815,2024
N. Gómez,323115,Progreso,"LCB, RCB3, CB",32.0,0,0,808,2024
F. Milán,474732,Deportivo Maldonado,CF,23.0,0,1,807,2024
J. Trasante,486242,Miramar Misiones,"RW, RCMF, RDMF",25.0,0,0,800,2024
S. Figueredo,-320102,Wanderers,RB,23.0,0,1,797,2024
M. Mancebo,-69041,Boston River,"LCB, RCB",23.0,0,1,796,2024
J. Ramos,360965,Boston River,LB,28.0,2,0,793,2024
A. Barco,-60946,Defensor Sporting,"DMF, LDMF, LCMF",23.0,0,0,793,2024
N. Fuica,-307311,Deportivo Maldonado,"RCB, RB",20.0,0,0,790,2024
G. Guruceaga,292848,Liverpool,GK,29.0,0,0,787,2024
J. Báez,253323,Peñarol,"LW, LAMF",29.0,1,0,785,2024
G. Rodríguez,181038,Boston River,LB,30.0,1,0,784,2024
M. Rubén,15372,Deportivo Maldonado,CF,37.0,3,0,776,2024
J. Acosta,434036,Boston River,RB,31.0,0,1,776,2024
N. Queiroz,396858,Wanderers,"LCMF3, RW, LCMF",28.0,0,0,769,2024
J. Ginzo,-348219,Deportivo Maldonado,"RWB, RB, LB",22.0,1,0,766,2024
F. Batista,448446,Peñarol,CF,25.0,8,3,763,2024
M. González,-64367,Danubio,"RCB3, RCB",22.0,0,0,744,2024
J. Zeballos,334935,River Plate,CF,28.0,1,1,739,2024
M. Mir,-285603,Cerro Largo,"RW, RCMF",21.0,1,0,737,2024
D. Núñez,-328916,Miramar Misiones,"RCB, RCB3, LDMF",22.0,1,0,727,2024
P. Pacífico,-329261,Defensor Sporting,"LB, CB, LCB3",18.0,0,0,725,2024
Santiago Ramirez,-109670,Deportivo Maldonado,"LAMF, LW, LWF",22.0,1,0,718,2024
C. Cruz,452570,Miramar Misiones,"LW, LB, CF",26.0,0,2,718,2024
Breno Caetano,473123,Fénix,"RB5, RW, LW",27.0,0,0,718,2024
R. Pérez,504359,Peñarol,"RCMF, RDMF, LCMF",28.0,1,0,718,2024
F. Queiroz,-49513,Fénix,"LCB, LCB3",26.0,0,0,713,2024
I. Suárez,-110858,Nacional,GK,22.0,0,0,706,2024
L. Tamareo,201431,Rampla Juniors,"RCMF, LCMF, RDMF",33.0,0,0,700,2024
A. Da Silveira,-233852,Fénix,"RCB, RCB3, RB",24.0,0,0,700,2024
M. Pintos,482308,Miramar Misiones,LB,24.0,0,0,696,2024
G. Gabriel,439955,Rampla Juniors,LB,30.0,0,0,691,2024
S. Guzmán,-566560,Wanderers,"LAMF, AMF, CF",20.0,1,1,683,2024
N. Campos,-378442,River Plate,CF,19.0,2,1,679,2024
N. Schiappacasse,397883,Miramar Misiones,"CF, LW, LAMF",25.0,1,0,672,2024
N. Wunsch,-113231,Cerro,"LW, CF, LCMF",21.0,1,0,672,2024
J. Plada,-74180,Rampla Juniors,"RCMF, RCMF3, RW",26.0,1,1,671,2024
J. Río,-158333,Danubio,GK,20.0,0,0,669,2024
L. Aued,14137,Liverpool,"LDMF, LCMF, DMF",37.0,0,0,666,2024
S. Franca,-253092,Fénix,"LWB, LB, LB5",22.0,1,0,657,2024
M. Acosta Fernández,-651005,Wanderers,LCB,21.0,1,0,656,2024
B. Castillo,398911,Peñarol,RB,29.0,0,0,643,2024
F. Casuriaga,-458478,Rampla Juniors,"DMF, RCMF3, RW",19.0,1,0,635,2024
